27 17 0
6 77 0
22 17 0
-5 27 0
50 57 0
-34 67 0
24 77 0
40 97 0
11 17 0
41 37 0
-20 67 0
-51 77 0
73 7 0
-26 27 0
37 47 0
6 77 0
34 87 0
-6 8 0
17 27 0
42 67 0
27 86 0
27 86 0
18 16 0
34 36 0
21 56 0
23 76 0
44 96 0
27 16 0
40 36 0
8 66 0
25 76 0
73 6 0
73 6 0
36 46 0
36 46 0
27 76 0
201 96 0
120 16 0
338 36 0
-53 56 0
-101 76 0
-125 96 0
-125 96 0
-165 26 0
73 66 0
73 66 0
37 6 0
37 6 0
42 36 0
45 56 0
64 86 0
53 6 0
-8 26 0
2 46 0
66 66 0
11 86 0
-17 6 0
25 16 0
26 46 0
39 66 0
-35 86 0
76 6 0
85 26 0
321 46 0
73 66 0
73 66 0
-105 96 0
-107 26 0
17 46 0
57 66 0
28 86 0
17 6 0
50 25 47
35 55 47
114 75 47
88 15 47
17 25 47
68 35 47
8 75 47
8 75 47
66 5 47
22 25 47
1 45 47
21 85 47
21 85 47
-8 5 47
48 25 47
2 45 47
55 75 47
50 95 47
28 15 47
92 39 47
52 55 47
19 85 47
19 85 47
156 15 47
-130 35 41
69 55 41
-39 75 41
-44 15 41
-51 24 41
-39 45 41
29 65 41
81 95 41
64 15 41
19 35 41
27 55 41
54 75 41
50 95 41
50 95 41
72 45 41
37 65 41
43 85 41
18 5 41
5 29 41
39 45 41
68 65 41
28 85 41
26 25 41
85 44 40
64 64 40
104 84 40
-245 4 40
82 14 40
82 14 40
35 54 40
16 74 40
-92 94 40
-6 24 40
6 43 40
18 64 40
54 74 40
54 4 40
-6 24 40
34 44 40
28 84 40
42 4 40
40 22 40
41 24 40
40 64 40
38 74 40
38 74 40
42 14 40
50 34 40
43 64 30
34 84 30
67 87 30
101 34 30
66 64 30
-12 84 30
199 4 30
97 17 30
-1 44 30
-1 44 30
17 74 30
17 74 30
-83 84 30
-49 44 30
-8 64 30
-61 84 30
-61 84 30
50 14 30
37 54 30
121 74 30
22 94 30
37 4 30
40 24 30
35 34 30
50 44 30
28 71 30
17 3 21
11 33 21
38 63 21
12 83 21
34 3 21
34 3 21
-29 63 21
33 83 21
36 3 21
27 23 21
56 43 21
-27 63 21
68 93 21
43 13 21
20 33 21
22 43 21
9 83 21
89 13 21
24 23 21
427 53 21
-124 73 21
104 75 21
58 23 30
-85 33 30
-55 53 30
-41 73 30
-41 73 30
-65 13 30
-14 33 30
65 53 30
27 83 30
55 3 30
66 23 30
39 53 30
48 73 30
23 93 30
50 13 30
97 33 30
43 53 30
38 73 30
67 3 30
-9 23 30
16 43 30
12 63 30
5 83 30
-5 3 30
18 12 35
93 32 35
9 62 35
67 92 35
75 12 35
258 22 35
179 42 35
-99 62 35
3 82 35
3 82 35
82 22 35
-106 42 35
-73 62 35
-34 82 35
23 2 35
45 32 35
91 42 35
98 52 35
24 92 35
65 22 35
90 52 35
45 72 35
29 92 35
29 92 35
34 32 44
35 52 44
72 74 44
64 2 44
8 22 44
-3 42 44
57 62 44
32 82 44
5 2 44
195 22 44
-85 52 44
-234 72 44
-49 92 44
55 12 44
5 32 44
-35 52 44
0 72 44
-59 2 44
24 32 44
43 52 44
77 72 44
50 92 44
23 12 44
42 32 44
40 51 53
29 71 53
17 11 53
48 31 53
41 51 53
113 71 53
66 91 53
72 21 53
26 41 53
39 71 53
39 71 53
23 1 53
162 21 53
-58 41 53
102 61 53
97 81 53
6 1 53
-30 31 53
-30 31 53
-22 61 53
17 81 53
9 3 53
98 21 53
19 58 50
70 81 50
70 81 50
146 21 50
6 41 50
26 71 50
35 79 50
90 21 50
43 41 50
24 56 50
6 91 50
57 11 50
26 31 50
18 51 50
20 91 50
20 91 50
-4 21 50
26 41 50
-4 61 50
32 1 50
55 31 50
-3 51 50
-10 80 51
23 10 51
56 40 51
-101 60 51
164 80 51
497 0 51
18 10 51
-275 40 51
-65 60 51
-21 85 51
-86 0 51
-36 30 51
-43 40 51
-40 60 51
58 90 51
61 30 51
83 50 51
28 70 51
43 90 51
57 10 51
68 40 51
74 60 51
24 80 51
65 0 53
24 30 53
40 60 53
38 70 53
80 10 53
42 30 53
-1 50 53
38 70 53
-3 10 53
39 30 53
38 44 53
-22 80 53
162 90 53
266 20 53
148 40 53
-125 60 53
-75 80 53
-75 80 53
-66 30 53
-8 50 53
-54 70 53
37 8 30
51 29 30
66 49 30
92 69 30
54 89 30
40 9 30
58 39 30
26 69 30
42 89 30
42 89 30
37 29 30
16 59 30
27 79 30
4 99 30
54 19 30
41 39 30
37 59 30
267 89 30
-83 9 30
233 29 30
-93 49 30
-76 79 30
-8 9 30
-8 9 30
-8 49 40
-21 59 40
-3 89 40
27 9 40
51 39 40
85 69 40
41 89 40
56 9 40
58 29 40
7 49 40
34 69 40
-13 89 40
36 29 40
-46 49 40
87 69 40
65 89 40
65 19 40
58 39 40
9 59 40
43 79 40
42 99 40
56 19 40
-11 41 44
182 78 44
-18 98 44
97 18 44
-23 48 44
-42 78 44
-25 98 44
27 18 44
44 38 44
75 48 44
39 88 44
23 98 44
40 28 44
-40 48 44
61 68 44
54 88 44
64 8 44
32 38 44
26 58 44
45 78 44
25 98 44
12 18 44
34 38 44
22 58 50
38 88 50
43 8 50
83 38 50
92 58 50
230 78 50
118 98 50
115 18 50
-113 58 50
144 68 50
68 98 50
-42 18 50
-18 38 50
-41 58 50
17 78 50
4 98 50
84 18 50
55 48 50
57 68 50
60 88 50
80 8 50
34 28 50
